"t","Y","Yn.lin.trend","Yn.hp","Yn.prod.fn","Yn.areosa","Yn.bevnel"
2001-03-01,112.527581845134,116.828470757495,110.64223917137,112.527011683485,116.828470757495,112.527581845134
2001-06-01,112.711242765959,117.569617957477,111.541597326844,112.719821136124,112.697777194338,112.81783382348
2001-09-01,112.066541196791,118.315466915243,112.449453427893,112.209324982881,112.086913837575,111.915093217701
2001-12-01,112.622000811217,119.057863431632,113.367832200819,112.430952777235,112.64213975615,112.58274433372
2002-03-01,114.357510557452,119.796683465827,114.298579099001,113.572092730609,114.35682488672,114.53286002637
2002-06-01,115.757499198718,120.556660686634,115.243122511622,114.891804832824,115.761960853378,115.980410161593
2002-09-01,117.209958821943,121.321459120847,116.202972834573,116.315599206393,117.213978138931,117.489916473075
2002-12-01,118.717282231757,122.08271739893,117.180014118467,117.809445137219,118.678536350129,119.022517758435
2003-03-01,117.107385639283,122.840308328614,118.176828206646,118.10034439176,117.130932158839,117.259524303168
2003-06-01,116.943660019057,123.619593976812,119.197053076542,118.195105630473,116.968537574591,117.112746329959
2003-09-01,118.281159152272,124.403823328994,120.243767094265,118.67737552742,118.283048867202,118.462974355503
2003-12-01,119.431678401491,125.184422581762,121.31870790775,119.344756316203,119.451886719354,119.6378846169
2004-03-01,121.778463725288,125.969919876866,122.422414271239,120.564518490998,121.782151758695,122.035919720323
2004-06-01,124.122595429049,126.769059442701,123.55423138584,122.185876127701,124.116787705624,124.412023541367
2004-09-01,125.772074942458,127.573268663628,124.71306531262,123.857311841695,125.767298710739,126.071849457097
2004-12-01,126.793733616103,128.373755300832,125.898137204311,125.393081958634,126.784411147479,127.08769374078
2005-03-01,126.794079437319,129.170385607705,127.109304636762,126.527610738838,126.833392338853,127.057489785515
2005-06-01,129.422409463348,129.989828582458,128.346982228168,128.182505142334,129.373100860848,129.740923048468
2005-09-01,128.103558183825,130.814470014936,129.611393252414,129.05543164461,128.139737124049,128.32492602403
2005-12-01,129.13460869297,131.635294285544,130.903445577416,129.895158640596,129.157104578685,129.409666571453
2006-03-01,131.494487259573,132.452164249628,132.223109211348,131.108866526854,131.469914933789,131.760315567137
2006-06-01,131.715117416054,133.292426473624,133.569209336222,132.060302444225,131.742036529419,131.9749653064
2006-09-01,133.599002014998,134.138019230414,134.940048436075,133.248533601164,133.604740287884,133.874438445852
2006-12-01,135.558179295579,134.979697844279,136.332658922365,134.706280497165,135.570257585632,135.844014530534
2007-03-01,138.094826174346,135.817321686187,137.743081264974,136.508892331742,138.092006622943,138.405180839401
2007-06-01,140.116575383002,136.678932105494,139.166687737988,138.423669197696,140.111103110838,140.4291220782
2007-09-01,141.400679852359,137.54600848824,140.598876724096,140.21987604965,141.417883990818,141.711498228746
2007-12-01,143.607103682148,138.409071283048,142.035457836418,142.16695496459,143.614179930227,143.932879155376
2008-03-01,145.987224954349,139.277549555891,143.472580333888,144.264130288156,145.992139004063,146.321866053739
2008-06-01,148.397732048774,140.161111287069,144.907239619325,146.557165092302,148.395763773572,148.74491771608
2008-09-01,150.427368012212,141.050278238436,146.337909528307,148.853816378215,150.325629815999,150.774630721568
2008-12-01,144.757247447759,141.935329347392,147.765214119209,149.12042222363,144.811636581688,144.964532952947
2009-03-01,142.833426927219,142.816116738156,149.192384622152,148.656739940113,142.899843840653,143.048608331793
2009-06-01,145.347352033463,143.722126757341,150.620851566035,148.839806783727,145.364039541107,145.568244825374
2009-09-01,148.702183246787,144.633884406231,152.047968233122,149.794013121894,148.707516892275,148.969598791668
2009-12-01,152.146051105359,145.541421643201,153.46757614916,151.344349538408,152.137575909338,152.428718932993
2010-03-01,154.650665311723,146.444586835452,154.871144653343,153.151547912292,154.652427263461,154.951356220967
2010-06-01,156.954284045561,147.373615477027,156.249007636586,155.128250978266,156.947120544782,157.259140926612
2010-09-01,158.359258290235,148.308537775962,157.591050152981,157.041177978741,158.370969117218,158.660469519113
2010-12-01,160.246109115979,149.239132436714,158.887310307975,158.975782905979,160.248646353159,160.553211999257
2011-03-01,161.922531890386,150.165243974012,160.128058562567,160.924589849325,161.929444428029,162.226161670066
2011-06-01,163.734678364954,151.117876062611,161.304214738146,162.893311747544,163.717207462278,164.042953495838
2011-09-01,163.865303309492,152.076551546287,162.40767918984,164.413122235685,163.875462250004,164.143978568115
2011-12-01,164.353355578331,153.030789441264,163.431794162299,165.634310873019,164.347516522156,164.628992155898
2012-03-01,163.976477282728,153.99101491257,164.370804223007,166.30301620543,164.001727600481,164.217251343253
2012-06-01,165.009432912076,154.967917278786,165.219567826612,166.980467798959,165.039086295173,165.262218431941
2012-09-01,167.825784828875,155.9510170081,165.972764755589,168.221375289497,167.790619250746,168.090413230104
2012-12-01,167.653915216468,156.929566091941,166.625033334722,169.051475504401,167.665047343604,167.888518342143
2013-03-01,167.860651337584,157.903401032737,167.172288297462,169.672830113119,167.912172210053,168.091723041646
2013-06-01,171.456824602044,158.905123153927,167.6112465934,171.086612965886,171.422768443634,171.72140545852
2013-09-01,172.144949284409,159.913200092059,167.939240659169,172.339089687984,172.140763719264,172.380599400181
2013-12-01,172.120754266035,160.916610768349,168.15619083642,173.156013573904,172.138978957916,172.352170146149
2014-03-01,173.03882184496,161.915187531309,168.264842623212,173.976040329214,173.002110915907,173.259945170575
2014-06-01,170.817927462436,162.942359992737,168.27061380224,173.908049170988,170.858737235099,170.989155587773
2014-09-01,171.183464084393,163.976048725317,168.182059383489,173.935009169685,171.191549555769,171.36660283224
2014-12-01,171.696420395621,165.004952642268,168.009462663986,174.09647283544,171.673763377932,171.858631981228
2015-03-01,170.160143031704,166.028899832649,167.765056754007,173.749175480591,170.137966147808,170.296237190026
2015-06-01,166.630913420127,167.0821692406,167.463380194071,172.514897691767,166.657284137641,166.705992210989
2015-09-01,164.6578998105,168.142120475913,167.1204192776,170.938349580658,164.676471020114,164.720202282269
2015-12-01,163.613827638319,169.197165329761,166.75155202913,169.305883959456,163.6166032694,163.651508987672
2016-03-01,162.33881117674,170.258830295456,166.370497230708,167.686602146626,162.356834550999,162.36390386091
2016-06-01,161.977472112674,171.338933925393,165.988884621618,166.300701966255,161.975087469062,161.996676622197
2016-09-01,161.02048775683,172.425889616098,165.615699387671,164.894225758532,161.027701941302,161.023905813902
2016-12-01,160.148291706279,173.507813925099,165.257319881779,163.592005000929,160.197176059259,160.143561961698
2017-03-01,162.46353161945,174.58452608272,164.917171377421,163.196590015115,162.444188188012,162.500084034583
2017-06-01,162.939261420295,175.692071459518,164.595424861442,162.930089718937,162.939031015546,162.960165697074
2017-09-01,163.0051434428,176.806642984562,164.290716034795,162.667598352419,163.015655219851,163.038438906707
2017-12-01,163.424582784857,177.916055297664,164.000658910563,162.482615741163,163.432940488611,163.452055530973
2018-03-01,164.037591685499,179.02012303641,163.722084235686,162.424915879014,164.038697529428,164.078221030228
2018-06-01,164.305925769764,180.155807361199,163.451487241572,162.436782323901,164.318554079051,164.339354491365
2018-09-01,165.087609129525,181.298696344681,163.185583923436,162.637196869688,165.086938264983,165.136485150582
2018-12-01,165.387838725799,182.436295038253,162.921642992973,163.0393396939,165.401986390344,165.428115596467
